全省排名,省,人口
1,广东,111690000
2,山东,100058300
3,河南,95591300
4,四川,83020000
5,江苏,80293000
6,河北,75195200
7,湖南,68602000
8,安徽,62548000
9,湖北,59020000
10,浙江,56570000
11,广西,48850000
12,云南,48005000
3,江西,46221000
14,辽宁,43689000
15,福建,39110000
16,陕西,38354400
17,黑龙江,37887000
18,山西,37023500
19,贵州,35800000
20,重庆,30484300
21,吉林,27174300
22,甘肃,26257100
23,内蒙古,25286000
24,新疆,24446700
25,上海,24183300
26,台湾,23690000
27,北京,21707000
28,天津,15568700
29,海南,9257600
30,香港,7430000
31,宁夏,6817900
32,青海,5983800
33,西藏,3371500
34,澳门,632000
